School Name,Location,Trips?,Contact Information,Notes,
University of Alabama SOM,Alabama,No,n/a,Undergrad has some programs,
University of South Alabama COM,Alabama,Yes,251-517-0536,CMMSA--Christian ministry for medical students at USA,
University of Arizona COM-Phoeniz,Arizona,Yes,Dr. Beyda. dbeyda@email.arizona.edu,,
University of Arizona COM-Tuscon,Arizona,Yes,Dr. Ronald Pust.  rpust@email.arizona.edu,Global Health Distinction Track,
California Northstate University COM,California,Yes,Dr. Anvar Velji.  Anvar.Velji@cnsu.edu,Global Health Program with trips but no short mission trips,
David Geffen SOM at UCLA,California,Yes,Chairperson's Office: 310 267-8680. No names/email given," Lots of short trips going out with their Global Healthcare Initiatives program.  Collaborate with Medical Missions for Children (MMFC, Inc.)",
Keck SOM of the University of Southern Cali.,California,Yes,medstuaf@usc.edu,Global Haelth Scholars Program sends Medical Students abroad,
Loma Linda Univeristy SOM,California,Yes,Shawn Plafker.  splafker@llu.edu,SIMS-->Short-Term Group Trips,
Stanford University SOM,California,Yes,Dr. Janine Roberts.  janine@stanford.edu,,
U. of Cali.-Davis SOM,California,Yes,Dr. Wilkes.  mswilkes@ucdavis.edu,Global Health Program,
U. of Cali.-Riverside SOM,California,Yes?,,Their trips are affiliated with UC Davis' Program,
U. of Cali.-Irvine SOM,California,Yes,Khanh-Van Le-Bucklin. klebuckl@uci.edu,Summer Trips,
U. of Cali.-San Diego SOM,California,Yes,Steffanie Strathdee.  sstrathdee@ucsd.edu,Global Health Initiative,
U. of Cali.-San Francisco SOM,California,No,," Their trips are more research oriented, as opposed to medical missions trips",
Frank H. Netter MD SOM at Quinnipiac Uni.,Connecticut,No,,,
U. Connecticut SOM,Connecticut,Yes,studentaffairs.uchc.edu/interest_groups/index.html,Several student organizations participate in medical missions trips,
Yale School of Medicine,Connecticut,Yes,Mark Weinstein MD and Grant Thomson MD,,
George Washington University SOM,D.C.,Yes,oso@gwu.edu,,
Georgetown University SOM,D.C.,Yes,202-687-7251,4-8 week trips,
Howard University SOM,D.C.,Yes,Dr. Shelly McDonald-Pinkett. 202-865-6100,Haiti,
Charles E Schmidt COM at Florida Atlantic Uni.,Florida,No,,Global Brigades Program appears to be inactive,
Florida International Uni. Herbert Wertheim COM,Florida,Yes,Brittany Cooke.  brcook@fiu.edu,Many to Haiti,
The Florida State University College of Medicine,Florida,Yes,www.hergfsu.com,HERO (Health and Educational Relief Organization),
University of Central Florida College of Medicine,Florida,Yes,Dr. Judith Simms-Cendan.  Judith.Simms-Cendan@ucf.edu," Trip to Dominical Republic, Summer 2016 (1 week)",
University of Florida COM,Florida,Yes,hoa.health.ufl.edu/contact-hoa/," Nicaragua, Thailand, Ecuador, DR.  Follow link for website-built-in email system",
University of Miami School of Medicine,Florida,Yes,haitilogicscenter@med.miami.edu,,
USF Health Morsani College of Medicine,Florida,Yes,usfpwh@gmail.com," Project World Health organization--Jarabacoa DR. February 27-March 5, 2016",
Emory University School of Medicine,Georgia,Yes,Dr. Oguchi Nwosu.  Oonwosu@emory.edu,Medical Mission to Haiti,
Medical College of Georgia at Georgia Regents Uni,Georgia,Yes,kkline@gru.edu,Trips to Peru.  Global Health Program,
Mercer University School of Medicine,Georgia,Yes,www.momhonduras.com    www.momcambodia.com,Honduras and Combodia,
Morehouse School of Medicine,Georgia,Yes,Dr. Jalal Zuberi.  jzuberi@msm.edu,MSM Mission: Haiti,
Johns Hopkins University SOM,Maryland,Yes?,,Mission to Africa.  Nurses Beyond the Borders.,
" Uniformed Services Univeristy of the Health Sciences, Edward Hebert SOM",Maryland,No,,Military Medicine,
University of Maryland SOM,Maryland,No,,,
